games,size,ratio,start_color,winner,win_count,budget_winner,algo_winner,loss_count,budget_loser,algo_loser
250,8,1:1,BLUE,BLUE,150,10,rave,100,10,mcts
250,8,1:1,BLUE,BLUE,224,50,rave,26,50,mcts
250,8,1:1,BLUE,BLUE,235,100,rave,15,100,mcts
250,8,1:1,BLUE,BLUE,250,500,rave,0,500,mcts
250,8,1:1,BLUE,BLUE,248,1000,rave,2,1000,mcts
250,8,1:1,BLUE,BLUE,238,2000,rave,12,2000,mcts
250,8,1:2,BLUE,RED,159,20,mcts,91,10,rave
250,8,1:2,BLUE,BLUE,138,50,rave,112,100,mcts
250,8,1:2,BLUE,BLUE,185,100,rave,65,200,mcts
250,8,1:2,BLUE,BLUE,245,500,rave,5,1000,mcts
250,8,1:2,BLUE,BLUE,241,1000,rave,9,2000,mcts
250,8,1:2,BLUE,BLUE,210,2000,rave,40,4000,mcts
250,8,1:5,BLUE,RED,227,50,mcts,23,10,rave
250,8,1:5,BLUE,RED,229,250,mcts,21,50,rave
250,8,1:5,BLUE,RED,205,500,mcts,45,100,rave
250,8,1:5,BLUE,BLUE,199,500,rave,51,2500,mcts
250,8,1:5,BLUE,BLUE,198,1000,rave,52,5000,mcts
250,8,1:5,BLUE,BLUE,176,2000,rave,74,10000,mcts
250,8,2:1,BLUE,BLUE,204,20,rave,46,10,mcts
250,8,2:1,BLUE,BLUE,245,100,rave,5,50,mcts
250,8,2:1,BLUE,BLUE,250,200,rave,0,100,mcts
250,8,2:1,BLUE,BLUE,250,1000,rave,0,500,mcts
250,8,2:1,BLUE,BLUE,248,2000,rave,2,1000,mcts
250,8,2:1,BLUE,BLUE,242,4000,rave,8,2000,mcts
250,8,5:1,BLUE,BLUE,245,50,rave,5,10,mcts
250,8,5:1,BLUE,BLUE,250,250,rave,0,50,mcts
250,8,5:1,BLUE,BLUE,250,500,rave,0,100,mcts
250,8,5:1,BLUE,BLUE,250,2500,rave,0,500,mcts
250,8,5:1,BLUE,BLUE,248,5000,rave,2,1000,mcts
250,8,5:1,BLUE,BLUE,239,10000,rave,11,2000,mcts
